PE, avg_PE, time
2.55324e+08 ,1.14862e+09 ,0.027373
2.55324e+08 ,1.13348e+09 ,0.027608
2.55324e+08 ,1.11884e+09 ,0.027822
2.55323e+08 ,1.10469e+09 ,0.028035
2.55323e+08 ,1.10469e+09 ,0.028247
2.55323e+08 ,1.10469e+09 ,0.028636
2.55323e+08 ,1.09099e+09 ,0.029015
2.55323e+08 ,1.09099e+09 ,0.02926
2.55323e+08 ,1.09099e+09 ,0.029484
2.51634e+08 ,1.07767e+09 ,0.029738
2.51634e+08 ,1.06476e+09 ,0.029954
2.51634e+08 ,1.05225e+09 ,0.030162
2.51633e+08 ,1.04012e+09 ,0.030369
2.51618e+08 ,1.02835e+09 ,0.030577
2.51618e+08 ,1.02835e+09 ,0.030784
2.51618e+08 ,1.02835e+09 ,0.030991
2.51618e+08 ,1.01693e+09 ,0.031199
2.51618e+08 ,1.01693e+09 ,0.031406
2.50166e+08 ,1.00582e+09 ,0.031612
2.50166e+08 ,1.00582e+09 ,0.031818
2.50166e+08 ,1.00582e+09 ,0.032025
2.50166e+08 ,1.00582e+09 ,0.032233
2.50166e+08 ,1.00582e+09 ,0.032441
2.50166e+08 ,1.00582e+09 ,0.03265
2.50166e+08 ,9.9502e+08 ,0.032857
2.50166e+08 ,9.9502e+08 ,0.033064
2.50166e+08 ,9.9502e+08 ,0.033271
2.50166e+08 ,9.9502e+08 ,0.033478
2.50166e+08 ,9.9502e+08 ,0.033686
2.50166e+08 ,9.84529e+08 ,0.033893
2.50166e+08 ,9.84529e+08 ,0.034099
2.50166e+08 ,9.7433e+08 ,0.034306
2.50166e+08 ,9.7433e+08 ,0.034513
2.50166e+08 ,9.7433e+08 ,0.034721
2.50166e+08 ,9.7433e+08 ,0.034928
2.50166e+08 ,9.7433e+08 ,0.035134
2.50166e+08 ,9.6441e+08 ,0.035344
2.50166e+08 ,9.54758e+08 ,0.035555
2.50166e+08 ,9.54758e+08 ,0.035764
2.50166e+08 ,9.54758e+08 ,0.035971
2.50166e+08 ,9.45363e+08 ,0.036179
2.50166e+08 ,9.45363e+08 ,0.036386
2.50166e+08 ,9.45363e+08 ,0.036593
2.49819e+08 ,9.36211e+08 ,0.036853
2.49326e+08 ,9.27291e+08 ,0.037081
2.49326e+08 ,9.27291e+08 ,0.037297
2.49326e+08 ,9.27291e+08 ,0.037506
2.49326e+08 ,9.27291e+08 ,0.037711
2.49323e+08 ,9.18599e+08 ,0.037918
2.49323e+08 ,9.10127e+08 ,0.038127
2.49323e+08 ,9.01867e+08 ,0.038334
2.49323e+08 ,9.01867e+08 ,0.038546
2.49323e+08 ,8.93811e+08 ,0.038753
2.49323e+08 ,8.93811e+08 ,0.03896
2.49322e+08 ,8.85951e+08 ,0.039166
2.49322e+08 ,8.78281e+08 ,0.039373
2.49322e+08 ,8.78281e+08 ,0.039581
2.49322e+08 ,8.78281e+08 ,0.039787
2.49322e+08 ,8.70793e+08 ,0.039994
2.49322e+08 ,8.70793e+08 ,0.0402
2.49322e+08 ,8.70793e+08 ,0.040407
2.49322e+08 ,8.70793e+08 ,0.040614
2.49322e+08 ,8.70793e+08 ,0.04082
2.49322e+08 ,8.70793e+08 ,0.041028
2.49322e+08 ,8.70793e+08 ,0.041233
2.49322e+08 ,8.70793e+08 ,0.041439
2.49322e+08 ,8.70793e+08 ,0.041646
2.49322e+08 ,8.70793e+08 ,0.041852
2.49322e+08 ,8.70793e+08 ,0.042059
2.49321e+08 ,8.63482e+08 ,0.042266
2.49321e+08 ,8.63482e+08 ,0.042473
2.49321e+08 ,8.56341e+08 ,0.042678
9.95682e+07 ,8.47642e+08 ,0.042883
9.95682e+07 ,8.39141e+08 ,0.043094
9.95682e+07 ,8.39141e+08 ,0.0433
9.95682e+07 ,8.30831e+08 ,0.043508
9.95682e+07 ,8.30831e+08 ,0.043714
9.95673e+07 ,8.22706e+08 ,0.043947
9.95139e+07 ,8.14759e+08 ,0.044409
9.95139e+07 ,8.14759e+08 ,0.044691
9.95139e+07 ,8.14759e+08 ,0.04492
9.95139e+07 ,8.14759e+08 ,0.045132
9.95139e+07 ,8.14759e+08 ,0.04534
9.95139e+07 ,8.14759e+08 ,0.045589
9.95139e+07 ,8.14759e+08 ,0.045839
9.95139e+07 ,8.14759e+08 ,0.046057
9.95139e+07 ,8.14759e+08 ,0.046265
9.95139e+07 ,8.06985e+08 ,0.046472
9.95008e+07 ,7.99377e+08 ,0.046677
9.95006e+07 ,7.91932e+08 ,0.046883
9.95004e+07 ,7.84643e+08 ,0.047093
1.40404e+07 ,7.76616e+08 ,0.0473
1.40404e+07 ,7.76616e+08 ,0.047507
1.40404e+07 ,7.68754e+08 ,0.047713
1.40404e+07 ,7.68754e+08 ,0.047918
1.40404e+07 ,7.68754e+08 ,0.048125
1.39716e+07 ,7.61053e+08 ,0.048331
1.39716e+07 ,7.61053e+08 ,0.048538
1.39716e+07 ,7.53506e+08 ,0.048745
1.39716e+07 ,7.53506e+08 ,0.048951
1.39716e+07 ,7.53506e+08 ,0.049157
1.39716e+07 ,7.53506e+08 ,0.049364
1.39716e+07 ,7.53506e+08 ,0.049579
1.39716e+07 ,7.46111e+08 ,0.049788
1.39716e+07 ,7.46111e+08 ,0.049995
1.39716e+07 ,7.38862e+08 ,0.050202
1.39716e+07 ,7.38862e+08 ,0.050408
1.39716e+07 ,7.38862e+08 ,0.050615
1.39716e+07 ,7.38862e+08 ,0.050823
1.39716e+07 ,7.38862e+08 ,0.051055
1.39716e+07 ,7.31755e+08 ,0.051264
1.39716e+07 ,7.31755e+08 ,0.051471
1.39716e+07 ,7.31755e+08 ,0.051679
1.39716e+07 ,7.31755e+08 ,0.051885
1.39716e+07 ,7.24786e+08 ,0.052093
1.39716e+07 ,7.24786e+08 ,0.0523
1.39716e+07 ,7.24786e+08 ,0.052507
1.39708e+07 ,7.17952e+08 ,0.052714
1.39707e+07 ,7.11247e+08 ,0.052923
1.39707e+07 ,7.04669e+08 ,0.05313
1.36014e+07 ,6.9821e+08 ,0.053338
1.36014e+07 ,6.9821e+08 ,0.053545
1.36014e+07 ,6.9821e+08 ,0.053751
1.36014e+07 ,6.9821e+08 ,0.053958
1.36014e+07 ,6.91871e+08 ,0.054165
1.36013e+07 ,6.85649e+08 ,0.054376
1.36013e+07 ,6.85649e+08 ,0.054583
1.36012e+07 ,6.79539e+08 ,0.05479
1.36012e+07 ,6.7354e+08 ,0.054999
1.36012e+07 ,6.67648e+08 ,0.05521
1.36012e+07 ,6.67648e+08 ,0.055423
1.36012e+07 ,6.67648e+08 ,0.055634
1.36012e+07 ,6.67648e+08 ,0.055842
1.35994e+07 ,6.6186e+08 ,0.05605
1.35992e+07 ,6.56173e+08 ,0.056257
1.35992e+07 ,6.56173e+08 ,0.056464
1.35992e+07 ,6.56173e+08 ,0.05667
1.35992e+07 ,6.56173e+08 ,0.056878
1.35992e+07 ,6.50585e+08 ,0.057085
1.35991e+07 ,6.45094e+08 ,0.057292
1.35991e+07 ,6.45094e+08 ,0.0575
1.35991e+07 ,6.39697e+08 ,0.057706
1.35991e+07 ,6.39697e+08 ,0.057913
1.35991e+07 ,6.39697e+08 ,0.058121
1.35991e+07 ,6.39697e+08 ,0.058329
1.3599e+07 ,6.34391e+08 ,0.058536
1.3599e+07 ,6.34391e+08 ,0.058742
1.3599e+07 ,6.29174e+08 ,0.058949
1.3599e+07 ,6.24044e+08 ,0.059157
1.3599e+07 ,6.24044e+08 ,0.059366
1.35939e+07 ,6.18999e+08 ,0.059574
1.35939e+07 ,6.14037e+08 ,0.059781
1.35939e+07 ,6.14037e+08 ,0.059988
1.35938e+07 ,6.09155e+08 ,0.060196
1.35938e+07 ,6.09155e+08 ,0.060411
1.35938e+07 ,6.09155e+08 ,0.06062
1.35938e+07 ,6.04352e+08 ,0.060827
1.35926e+07 ,5.99626e+08 ,0.061034
1.32779e+07 ,5.94973e+08 ,0.061242
1.32779e+07 ,5.94973e+08 ,0.061454
1.32779e+07 ,5.94973e+08 ,0.061662
1.32779e+07 ,5.94973e+08 ,0.061871
1.32779e+07 ,5.90392e+08 ,0.062078
1.32779e+07 ,5.90392e+08 ,0.062285
1.32779e+07 ,5.90392e+08 ,0.062493
1.32766e+07 ,5.85884e+08 ,0.0627
1.32766e+07 ,5.81445e+08 ,0.06298
1.32766e+07 ,5.81445e+08 ,0.063202
1.32766e+07 ,5.81445e+08 ,0.06341
1.32766e+07 ,5.81445e+08 ,0.063616
1.32766e+07 ,5.81445e+08 ,0.063824
1.32766e+07 ,5.81445e+08 ,0.064029
1.32766e+07 ,5.81445e+08 ,0.064237
1.32766e+07 ,5.81445e+08 ,0.064444
1.32766e+07 ,5.77074e+08 ,0.064652
1.32766e+07 ,5.72771e+08 ,0.064859
1.32766e+07 ,5.72771e+08 ,0.065066
1.32766e+07 ,5.72771e+08 ,0.065274
1.32766e+07 ,5.72771e+08 ,0.065525
1.32765e+07 ,5.68532e+08 ,0.065788
1.32765e+07 ,5.64357e+08 ,0.066021
1.32765e+07 ,5.64357e+08 ,0.066251
1.32765e+07 ,5.64357e+08 ,0.06648
1.32764e+07 ,5.60245e+08 ,0.066707
1.32764e+07 ,5.60245e+08 ,0.066933
1.32764e+07 ,5.60245e+08 ,0.067175
1.32764e+07 ,5.56193e+08 ,0.067436
1.32764e+07 ,5.56193e+08 ,0.067704
1.32764e+07 ,5.52201e+08 ,0.067934
1.3276e+07 ,5.48267e+08 ,0.068145
1.3276e+07 ,5.4439e+08 ,0.068354
1.3276e+07 ,5.4439e+08 ,0.068662
