PE, avg_PE, time
-32.3511 ,-0.454434 ,0.010277
-32.3511 ,-0.454434 ,0.010352
-32.3511 ,-0.454434 ,0.010413
-33.1809 ,-0.449979 ,0.010472
-33.1809 ,-0.449979 ,0.01053
-33.1809 ,-0.449979 ,0.01059
-31.577 ,-0.44561 ,0.010664
-28.9764 ,-0.441326 ,0.010754
-29.2549 ,-0.437123 ,0.010893
-31.1958 ,-0.432999 ,0.01103
-31.1958 ,-0.432999 ,0.011136
-32.9501 ,-0.428952 ,0.011448
-32.5103 ,-0.42498 ,0.011554
-32.0293 ,-0.421081 ,0.011623
-32.0293 ,-0.421081 ,0.011693
-32.2787 ,-0.417253 ,0.011771
-32.2787 ,-0.417253 ,0.011852
-32.2787 ,-0.417253 ,0.011923
-32.2787 ,-0.417253 ,0.01199
-32.2787 ,-0.417253 ,0.012062
-33.034 ,-0.413494 ,0.012125
-31.6524 ,-0.409802 ,0.012193
-31.6524 ,-0.409802 ,0.012256
-32.7876 ,-0.406176 ,0.012316
-32.9903 ,-0.402613 ,0.012376
-35.6298 ,-0.399112 ,0.012435
-34.8292 ,-0.395671 ,0.012495
-34.8292 ,-0.395671 ,0.012559
-34.8292 ,-0.395671 ,0.012625
-33.4637 ,-0.392289 ,0.012701
-33.5773 ,-0.388965 ,0.01281
-33.5773 ,-0.388965 ,0.012934
-33.2051 ,-0.385696 ,0.013018
-32.6681 ,-0.382482 ,0.013093
-32.6681 ,-0.382482 ,0.013157
-32.5023 ,-0.379321 ,0.013234
-32.5023 ,-0.379321 ,0.013338
-30.0246 ,-0.376212 ,0.013427
-30.0246 ,-0.376212 ,0.013494
-29.7078 ,-0.373153 ,0.013561
-30.6287 ,-0.370144 ,0.013627
-31.5674 ,-0.367183 ,0.01369
-31.462 ,-0.364269 ,0.01375
-31.462 ,-0.364269 ,0.013808
-30.735 ,-0.361401 ,0.013866
-28.9229 ,-0.358577 ,0.013924
-30.014 ,-0.355797 ,0.013982
-28.6827 ,-0.353061 ,0.01404
